STOCK,PRICE,TIME
ZM,262.27,2020-07-08 14:44:51.532655
TSLA,1394.71,2020-07-08 14:44:52.256092
CLDR,12.06,2020-07-08 14:44:52.833095
FREQ,22.65,2020-07-08 14:44:53.271476
FSLY,92.23,2020-07-08 14:44:53.762546
TTD,457.05,2020-07-08 14:44:54.444014
PLIG,9.44,2020-07-08 14:44:55.103026
DOCU,203.44,2020-07-08 14:44:55.675147
OSTL,42.66,2020-07-08 14:48:09.501338
ZM,263.0,2020-07-08 14:48:10.014880
TSLA,1401.55,2020-07-08 14:48:10.464961
CLDR,12.06,2020-07-08 14:48:10.926764
FREQ,22.65,2020-07-08 14:48:11.700015
FSLY,93.11,2020-07-08 14:48:12.230141
TTD,460.58,2020-07-08 14:48:13.054645
PLIG,9.51,2020-07-08 14:48:13.537908
DOCU,205.01,2020-07-08 14:48:14.057307
OSTL,41.88,2020-07-08 14:49:18.108636
ZM,264.06,2020-07-08 14:49:18.864306
TSLA,1403.69,2020-07-08 14:49:19.607281
CLDR,12.07,2020-07-08 14:49:20.154031
FREQ,22.65,2020-07-08 14:49:20.546498
FSLY,93.73,2020-07-08 14:49:21.121548
TTD,460.66,2020-07-08 14:49:21.585298
PLIG,9.5,2020-07-08 14:49:22.109579
DOCU,205.54,2020-07-08 14:49:22.642665
OSTL,41.98,2020-07-08 14:50:34.341923
ZM,263.94,2020-07-08 14:50:34.975552
TSLA,1404.09,2020-07-08 14:50:35.499834
CLDR,12.02,2020-07-08 14:50:36.070002
FREQ,22.65,2020-07-08 14:50:36.661649
FSLY,93.28,2020-07-08 14:50:37.132234
TTD,459.0,2020-07-08 14:50:37.731705
PLIG,9.44,2020-07-08 14:50:38.202293
DOCU,204.07,2020-07-08 14:50:38.750007
OSTL,40.92,2020-07-08 14:53:43.617580
ZM,263.41,2020-07-08 14:53:44.262926
TSLA,1398.51,2020-07-08 14:53:44.805757
CLDR,12.09,2020-07-08 14:53:45.224597
FREQ,22.65,2020-07-08 14:53:45.794783
FSLY,93.35,2020-07-08 14:53:46.184315
TTD,458.85,2020-07-08 14:53:46.675416
PLIG,9.38,2020-07-08 14:53:47.159655
DOCU,203.69,2020-07-08 14:53:47.598039
OSTL,41.66,2020-07-08 14:54:39.090752
ZM,264.11,2020-07-08 14:54:39.589650
TSLA,1399.86,2020-07-08 14:54:40.103700
CLDR,12.09,2020-07-08 14:54:40.616268
FREQ,22.65,2020-07-08 14:54:41.090758
FSLY,93.21,2020-07-08 14:54:41.658973
TTD,458.9,2020-07-08 14:54:42.091495
PLIG,9.32,2020-07-08 14:54:42.587449
DOCU,203.16,2020-07-08 14:54:43.501295
OSTL,42.65,2020-07-08 15:03:00.904379
ZM,263.89,2020-07-08 15:03:01.390585
TSLA,1401.18,2020-07-08 15:03:02.061315
CLDR,12.15,2020-07-08 15:03:02.561190
FREQ,22.66,2020-07-08 15:03:02.928306
FSLY,93.66,2020-07-08 15:03:03.411565
TTD,460.08,2020-07-08 15:03:04.181876
PLIG,9.35,2020-07-08 15:03:04.662225
DOCU,201.83,2020-07-08 15:03:05.173815
OSTL,42.65,2020-07-08 15:03:25.944972
ZM,263.89,2020-07-08 15:03:26.626440
TSLA,1401.84,2020-07-08 15:03:27.157557
CLDR,12.16,2020-07-08 15:03:27.716011
FREQ,22.66,2020-07-08 15:03:28.204169
FSLY,93.45,2020-07-08 15:03:28.793866
TTD,460.08,2020-07-08 15:03:29.846336
PLIG,9.41,2020-07-08 15:03:30.396979
DOCU,202.06,2020-07-08 15:03:30.929072
OSTL,43.07,2020-07-08 15:03:53.288749
ZM,263.9,2020-07-08 15:03:53.823772
TSLA,1402.38,2020-07-08 15:03:54.368556
CLDR,12.16,2020-07-08 15:03:54.885029
FREQ,22.66,2020-07-08 15:03:55.497179
FSLY,93.38,2020-07-08 15:03:56.062467
TTD,459.55,2020-07-08 15:03:56.633613
PLIG,9.39,2020-07-08 15:03:57.034897
DOCU,201.45,2020-07-08 15:03:57.686083
OSTL,43.4,2020-07-08 15:05:07.014821
ZM,263.94,2020-07-08 15:05:07.485406
TSLA,1401.87,2020-07-08 15:05:08.167852
CLDR,12.13,2020-07-08 15:05:08.593528
